Code,Message
0xcb72,"bit  6,d"
0xcb73,"bit  6,e"
0xcb74,"bit  6,h"
0xcb75,"bit  6,l"
0xcb76,"bit  6,(hl)"
0xcb77,"bit  6,a"
0xcb78,"bit  7,b"
0xcb79,"bit  7,c"
0xcb7a,"bit  7,d"
0xcb7b,"bit  7,e"
0xcb7c,"bit  7,h"
0xcb7d,"bit  7,l"
0xcb7e,"bit  7,(hl)"
0xcb7f,"bit  7,a"
0xcb86,"res  0,(hl)"
0xcb96,"res  2,(ix+$00)"
0xcb9e,"res  3,(iy+$00)"
0xcba6,"res  4,(hl)"
0xcbab,"res  5,e"
0xcbdd,"bit  0,(ix+d)"
0xcbdd,"bit  1,(ix+d)"
0xcbdd,"bit  2,(ly+d)"
0xcbdd,"bit  3,(ix+d)"
0xcbdd,"bit  4,(ly+d)"
0xcbdd,"bit  5,(ix+d)"
0xcbdd,"bit  6,(ix+d)"
0xcbdd,"bit  7,(ix+d)"
0xcbfd,"bit  0,(iy+d)"
0xcbfd,"bit  1,(iy+d)"
0xcbfd,"bit  2,(iy+d)"
0xcbfd,"bit  3,(iy+d)"
0xcbfd,"bit  4,(iy+d)"
0xcbfd,"bit  5,(iy+d)"
0xcbfd,"bit  6,(iy+d)"
0xcbfd,"bit  7,(iy+d)"
0xcbf6,"set  6,(ix+&00)"
0xcbff,"set  7,a"
0xcc,"call z,&0000"
0xcd,call &0000
0xce,"adc  a,&00"
0xcf,rst  &08
0xd0,ret  nc
0xd1,pop  de
0xd2,"jp   nc,&0000"
0xd3,"out  (&00),a"
0xd4,"call nc,&0000"
0xd5,push de
0xd6,sub  &00
0xd7,rst  &10
0xd8,ret  c
0xd9,exx
0xda,"jp   c,&0000"
0xdb,"in   a,(&00)"
0xdc,"call c,&0000"
0xdd,**** dd
0xdd09,"add  ix,bc"
0xdd19,"add  ix,de"
0xdd21,"ld   ix,&0000"
0xdd22,"ld   (hhll),ix"
0xdd23,inc  ix
0xdd24,inc  ixh
0xdd25,dec  ixh
0xdd26,"ld   ixh,&00"
0xdd29,"add   ix,ix"
0xdd2a,"ld   ix,(hhll)"
0xdd2b,dec   ix
0xdd2c,inc   ixl
0xdd2d,dec   ixl
0xdd2e,"ld   ixl,&00"
0xdd34,inc   (ix+&00)
0xdd35,dec   (ix+&00)
0xdd36,"ld   (ix+&00),&00"
0xdd39,"add   ix,sp"
0xdd44,"ld   b,ixh"
0xdd45,"ld   b,ixl"
0xdd46,"ld   b,(ix+&00)"
0xdd4c,"ld   c,ixh"
0xdd4d,"ld   c,ixl"
0xdd4e,"ld   c,(ix+&00)"
0xdd54,"ld   d,ixh"
0xdd55,"ld   d,ixl"
0xdd56,"ld   d,(ix+&00)"
0xdd5e,"ld   e,(ix+&00)"
0xdd60,"ld   ixh,b"
0xdd61,"ld   ixh,c"
0xdd62,"ld   ixh,d"
0xdd63,"ld   ixh,e"
0xdd64,"ld   ixh,ixh"
0xdd65,"ld   ixh,ixl"
0xdd66,"ld   h,(ix+&00)"
0xdd67,"ld   ixh,a"
0xdd68,"ld   ixl,b"
0xdd69,"ld   ixl,c"
0xdd6a,"ld   ixl,d"
0xdd6b,"ld   ixl,e"
0xdd6c,"ld   ixl,ixh"
0xdd6d,"ld   ixl,ixl"
0xdd6e,"ld   l,(ix+&00)"
0xdd6f,"ld   ixl,a"
0xdd70,"ld   (ix+&00),b"
0xdd71,"ld   (ix+&00),c"
0xdd72,"ld   (ix+&00),d"
0xdd73,"ld   (ix+&00),e"
0xdd74,"ld   (ix+&00),h"
0xdd75,"ld   (ix+&00),l"
0xdd77,"ld   (ix+&00),a"
0xdd7c,"ld   a,ixh"
0xdd7d,"ld   a,ixl"
0xdd7e,"ld   a,(ix+&00)"
0xdd84,"add   a,ixh"
0xdd85,"add   a,ixl"
0xdd86,"add   a,(ix+&00)"
0xdd8c,"adc   a,ixh"
0xdd8d,"adc   a,ixl"
0xdd8e,"adc   a,(ix+&00)"
0xdd94,"sub   a,ixh"
0xdd95,"sub   a,ixl"
0xdd96,"sub   a,(ix+&00)"
0xdd9c,"sbc   a,ixh"
0xdd9d,"sbc   a,ixl"
0xdd9e,"sbc   a,(ix+&00)"
0xdda4,and   ixh
0xdda5,and   ixl
0xdda6,and   (ix+&00)
0xddac,xor   ixh
0xddad,xor   ixl
0xddae,xor   (ix+&00)
0xddb4,or   ixh
0xddb5,or   ixl
0xddb6,or   (ix+&00)
0xddbc,cp   ixh
0xddbd,cp   ixl
0xddbe,cp   (ix+&00)
0xdde1,pop  ix
0xdde3,"ex   (sp),ix"
0xdde5,push ix
0xdde9,jp   (ix)
0xde,"sbc  a,&00"
0xdf,rst  &18
0xe0,ret  po
0xe1,pop  hl
0xe2,"jp   po,&0000"
0xe3,"ex   (sp),hl"
0xe4,"call po,&0000"
0xe5,push hl
0xe6,and  &00
0xe7,rst  &20
0xe8,ret  pe
0xe9,jp   (hl)
0xea,"jp   pe,&0000"
0xeb,"ex   de,hl"
0xec,"call pe,&0000"
0xed,**** ed
0xed43,"ld   (&0000),bc"
0xed53,"ld   (&0000),de"
0xed5b,"ld   de,(&0000)"
0xed41,"out  (c),b"
0xed42,"sbc  hl,bc"
0xed44,neg
0xed4b,"ld   bc,(&0000)"
0xed52,"sbc  hl,de"
0xed5f,"ld   a,r"
0xed61,"out  (c),h"
0xed69,"out  (c),l"
0xed6a,"adc  hl,hl"
0xed6f,rld  (hl)
0xed78,"in   a,(c)"
0xed79,"out  (c),a"
0xedb0,ldir
0xedb8,lddr
0xee,xor  &00
0xef,rst  &28
0xf0,ret  p
0xf1,pop  af
0xf2,"jp   p,&0000"
0xf3,di
0xf4,"call p,&0000"
0xf5,push af
0xf6,or   &00
0xf7,rst  &30
0xf8,ret  m
0xf9,"ld   sp,hl"
0xfa,"jp   m,&0000"
0xfb,ei
0xfc,"call m,&0000"
0xfd,**** fd
0xfd09,"add  iy,bc"
0xfd21,"ld   iy,&0000"
0xfd22,"ld   (&0000),iy"
0xfd23,inc  iy
0xfd2a,"ld   iy,(&0000)"
0xfd36,"ld   (iy+&00),&00"
0xfd46,"ld   b,(iy+&00)"
0xfd4e,"ld   c,(iy+&00)"
0xfd56,"ld   d,(iy+&00)"
0xfd5e,"ld   e,(iy+&00)"
0xfd66,"ld   h,(iy+&00)"
0xfd6e,"ld   l,(iy+&00)"
0xfd7e,"ld   a,(iy+&00)"
0xfd74,"ld   (iy+&00),h"
0xfd75,"ld   (iy+&00),l"
0xfde1,pop  iy
0xfde5,push iy
0xfe,cp   &00
0xff,rst  &38
